"","Coded.ID","Grade.Level","Year","PSAT","Class.Absences","X2.D.Art.and.Design","X3.D.Art.and.Design","Art.History","Biology","Calculus.AB","Calculus.BC","Calculus.BC..AB.Subscore","Chemistry","Computer.Science.A","Computer.Science.Principles","English.Language.and.Composition","English.Literature.and.Composition","Environmental.Science","European.History","Latin","Physics.C..Electricity.and.Magnetism","Physics.C..Mechanics","Spanish.Language.and.Culture","Statistics","United.States.History","World.History..Modern","X","Quantitative Reasoning","Verbal Reasoning"
"263",183,"11th Grade",2022,1330,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,89,77
"264",184,"12th Grade",2022,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,42,60
"265",185,"12th Grade",2023,1410,87,NA,NA,NA,5,NA,5,5,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"266",185,"11th Grade",2022,1410,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"267",186,"10th Grade",2023,1290,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,69,82
"268",187,"12th Grade",2022,NA,15,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"269",188,"11th Grade",2023,1320,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,69,92
"270",188,"10th Grade",2022,1320,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,69,92
"271",189,"10th Grade",2023,1170,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,53,67
"272",190,"12th Grade",2023,1090,175,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,15
"273",190,"11th Grade",2022,1090,138,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,15
"274",191,"10th Grade",2023,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,60,34
"275",192,"12th Grade",2023,1150,75,NA,NA,NA,4,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,72
"276",192,"11th Grade",2022,1150,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,76,72
"277",193,"10th Grade",2023,1310,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,67,77
